"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-12-31,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,3870,-0.01,0.0146,0.1288,30565
2019-12-31,"10023","NY","New York-Newark-Jersey City","New York County","New York",1,4180,-0.0107,0.0294,0.0908,36095
2019-12-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",2,1780,0.004,0.0094,-0.0026,43041
2019-12-31,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",3,2330,-0.0191,-0.0418,0.0227,35617
2019-12-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",4,1470,0.0188,0.0313,0.0181,41089
2019-12-31,"10002","NY","New York-Newark-Jersey City","New York County","New York",5,3630,-0.0274,-0.0365,0.1171,12427
2019-12-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",6,1440,0.0125,0.0205,0.0108,31000
2019-12-31,"79936","TX","El Paso","El Paso County","El Paso",7,980,0.0154,0.0341,0.0086,32457
2019-12-31,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",8,1650,0.0036,-0.0061,0.0165,21696
2019-12-31,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,1790,0.0015,0.0426,0.0558,11449
2019-12-31,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",10,1550,0.0218,0.0349,0.0612,35713
2019-12-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",11,4450,0.0034,-0.0055,0.0241,9970
2019-12-31,"10016","NY","New York-Newark-Jersey City","New York County","New York",12,3380,-0.0147,0.0151,0.0699,30876
2019-12-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",13,1330,-0.0019,-0.0024,-0.028,28482
2019-12-31,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",14,1890,-0.011,-0.0454,-0.0043,22495
2019-12-31,"11201","NY","New York-Newark-Jersey City","Kings County","New York",15,3060,0.0203,0.0436,0.1241,27386
2019-12-31,"11235","NY","New York-Newark-Jersey City","Kings County","New York",16,2050,-0.0292,-0.0059,0.0053,30266
2019-12-31,"11375","NY","New York-Newark-Jersey City","Queens County","New York",17,2080,-0.0172,0.0228,0.0197,43417
2019-12-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",18,2590,-0.016,-0.0066,0.006,15057
2019-12-31,"78130","TX","San Antonio-New Braunfels","Comal County","New Braunfels",19,1390,0.0056,0.0098,-0.0032,30814
2019-12-31,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",20,1370,0.0025,0.0061,0.0065,25015
2019-12-31,"10029","NY","New York-Newark-Jersey City","New York County","New York",21,3220,0.0128,-0.0045,0.0393,7697
2019-12-31,"10009","NY","New York-Newark-Jersey City","New York County","New York",22,3430,-0.0168,-0.0493,0.0506,7573
2019-12-31,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",23,1340,-0.0014,-0.0099,-0.046,33161
2019-12-31,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",24,1790,-0.0002,-0.0375,-0.0056,22182
2019-12-31,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria County","Pearland",25,1580,0.0128,-0.0065,-0.0297,29384
2019-12-31,"20002","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",26,2310,-0.0118,-0.0023,0.0206,26713
2019-12-31,"10128","NY","New York-Newark-Jersey City","New York County","New York",27,3760,-0.0069,0.0019,0.0309,25116
2019-12-31,"28269","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",28,1310,0.0031,0.014,0.0538,29430
2019-12-31,"78613","TX","Austin-Round Rock","Williamson County","Cedar Park",29,1530,-0.0078,0.0137,-0.0095,30499
2019-12-31,"77433","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",30,1540,0.0011,0.0201,0.0181,39403
2019-12-31,"78572","TX","McAllen-Edinburg-Mission","Hidalgo County","Mission",31,830,-0.002,0.0078,-0.021,21734
2019-12-31,"30349","GA","Atlanta-Sandy Springs-Roswell","Clayton County","Riverdale",32,1210,0.0146,0.0205,0.0419,30564
2019-12-31,"79912","TX","El Paso","El Paso County","El Paso",33,1140,-0.0001,0.0044,0.0078,23043
2019-12-31,"75052","TX","Dallas-Fort Worth-Arlington","Dallas County","Grand Prairie",34,1370,0.0229,0.0274,0.0244,29967
2019-12-31,"94565","CA","San Francisco-Oakland-Hayward","Contra Costa County","Pittsburg",35,2320,-0.0021,0.0095,0.041,47498
2019-12-31,"37042","TN","Clarksville","Montgomery County","Clarksville",36,910,-0.0002,0.0354,0.0182,30356
2019-12-31,"11206","NY","New York-Newark-Jersey City","Kings County","New York",37,2730,0.0172,0.0176,0.0564,11573
2019-12-31,"73099","OK","Oklahoma City","Canadian County","Yukon",38,1160,0.0009,0.006,-0.0048,29526
2019-12-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",39,3230,0.0035,0.009,0.0289,12860
2019-12-31,"20009","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",40,2620,-0.0054,0.0039,0.0199,21037
2019-12-31,"77429","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",41,1360,0.011,0.0112,-0.0739,33155
2019-12-31,"78245","TX","San Antonio-New Braunfels","Bexar County","San Antonio",42,1240,0.0065,-0.0016,-0.022,30276
2019-12-31,"77479","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Sugar Land",43,1780,0.0041,0.0055,-0.028,30594
2019-12-31,"10462","NY","New York-Newark-Jersey City","Bronx County","New York",44,1830,0.029,0.0746,0.0954,10473
2019-12-31,"10456","NY","New York-Newark-Jersey City","Bronx County","New York",45,2010,0.0196,0.0549,0.1465,3913
2019-12-31,"60613","IL","Chicago-Naperville-Elgin","Cook County","Chicago",46,1710,-0.0121,-0.0266,0.0004,25660
2019-12-31,"30044","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",47,1410,0.0056,0.018,0.0113,30586
2019-12-31,"10019","NY","New York-Newark-Jersey City","New York County","New York",48,3800,-0.0141,0.0045,0.0415,21742
2019-12-31,"63376","MO","St. Louis","Saint Charles County","Saint Peters",49,1230,0.0233,0.0346,0.0251,30020
2019-12-31,"28277","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",50,1630,0.0076,0.0366,0.0407,29975
2019-12-31,"60625","IL","Chicago-Naperville-Elgin","Cook County","Chicago",51,1680,-0.0025,-0.0169,0.0023,16085
2019-12-31,"30043","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",52,1510,0.016,0.0196,0.0016,30712
2019-12-31,"11230","NY","New York-Newark-Jersey City","Kings County","New York",53,2150,0.0174,0.0182,0.06,17840
2019-12-31,"11212","NY","New York-Newark-Jersey City","Kings County","New York",54,2140,-0.0167,0.0266,0.0144,7731
2019-12-31,"77036","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",55,1190,0.0121,0.0206,-0.0013,11570
2019-12-31,"10463","NY","New York-Newark-Jersey City","New York County","New York",56,2060,0.0071,0.0177,0.0732,22872
2019-12-31,"60629","IL","Chicago-Naperville-Elgin","Cook County","Chicago",57,1350,0.0144,-0.001,0.013,21752
2019-12-31,"30096","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Duluth",58,1490,0.0085,0.0322,0.0235,19909
2019-12-31,"11221","NY","New York-Newark-Jersey City","Kings County","New York",59,2540,0.0052,0.0113,0.0313,20366
2019-12-31,"07030","NJ","New York-Newark-Jersey City","Hudson County","Hoboken",60,2580,-0.0033,0.0061,0.0056,22216
2019-12-31,"98052","WA","Seattle-Tacoma-Bellevue","King County","Redmond",61,2350,0.0028,-0.01,0.0398,26664
2019-12-31,"30024","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Suwanee",62,1630,0.0012,0.0016,-0.0169,31479
2019-12-31,"60610","IL","Chicago-Naperville-Elgin","Cook County","Chicago",63,2120,-0.02,-0.01,-0.0024,29510
2019-12-31,"78704","TX","Austin-Round Rock","Travis County","Austin",64,1910,0.006,0.02,0.0485,20422
2019-12-31,"77077","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",65,1420,0.0065,0.0196,-0.0166,17971
2019-12-31,"85032","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",66,1480,0.0058,0.0312,0.074,23725
2019-12-31,"77379","TX","Houston-The Woodlands-Sugar Land","Harris County","Spring",67,1430,0.017,0.0303,0.0257,29215
2019-12-31,"75287","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",68,1390,0.007,0.0096,-0.0325,10335
2019-12-31,"78666","TX","Austin-Round Rock","Hays County","San Marcos",69,1350,0.0022,-0.0111,-0.0345,12625
2019-12-31,"21234","MD","Baltimore-Columbia-Towson","Baltimore County","Parkville",70,1450,-0.0047,0.0058,-0.0165,20939
2019-12-31,"33160","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Sunny Isles Beach",71,2450,0.0087,-0.0103,-0.0318,49052
2019-12-31,"23464","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",72,1480,0.0054,0.0183,0.0076,26056
